file,line,ciudad,nombre,buscado,tipo,lat_csv,lng_csv,lat_res,lng_res,dist_m,tolerancia_m,area,confianza,fuente,veredicto
europa_occidental.csv,55,Londres,Shoreditch / Brick Lane,Shoreditch,Barrio,51.526669,-0.079893,51.526669,-0.079893,0,1500,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,56,Londres,Notting Hill,Notting Hill,Barrio,51.510999,-0.205527,51.510999,-0.205527,0,1500,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,57,Londres,Soho,Soho,Barrio,51.514065,-0.135049,51.514065,-0.135049,0,1500,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,58,Londres,Kensington / Chelsea,Kensington,Barrio,51.498995,-0.199123,51.498995,-0.199123,0,1500,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,59,Londres,Marylebone,Marylebone,Barrio,51.519637,-0.151963,51.519637,-0.151963,0,1500,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,60,Londres,Greenwich,Greenwich,Barrio,51.482084,-0.004542,51.482084,-0.004542,0,1500,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,61,Londres,Camden,Camden Town,Barrio,51.539253,-0.142757,51.539253,-0.142757,0,1500,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,63,Londres,Highgate Cemetery,Highgate Cemetery,Cementerio,51.567776,-0.148594,51.567776,-0.148594,0,400,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,64,Londres,King's Cross Station,King's Cross Station,Harry Potter,51.530456,-0.123259,51.530456,-0.123259,0,300,londres,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,65,Londres,Cecil Court,Cecil Court,Harry Potter,51.510727,-0.127657,51.510727,-0.127657,0,300,londres,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,66,York,York Minster,York Minster,Catedral,53.962356,-1.082083,53.962356,-1.082083,0,150,york,high,nominatim/nominatim_free,ok
europa_occidental.csv,67,York,National Railway Museum,National Railway Museum,Museo,53.960496,-1.09611,53.960496,-1.096110,0,150,york,high,nominatim/nominatim_free,ok
europa_occidental.csv,68,York,JORVIK Viking Centre,JORVIK Viking Centre,Museo,53.957393,-1.080294,53.957393,-1.080294,0,150,york,high,nominatim/nominatim_free,ok
europa_occidental.csv,69,York,York Castle Museum,York Castle Museum,Museo,53.955221,-1.078129,53.955221,-1.078129,0,150,york,high,nominatim/nominatim_free,ok
europa_occidental.csv,70,York,Yorkshire Museum,Yorkshire Museum,Museo,53.961809,-1.087571,53.961809,-1.087571,0,150,york,high,nominatim/nominatim_free,ok
europa_occidental.csv,71,York,Barley Hall,Barley Hall,Museo,53.96091,-1.082595,53.960910,-1.082595,0,150,york,high,nominatim/nominatim_free,ok
europa_occidental.csv,72,York,York Chocolate Story,York's Chocolate Story,Museo,53.960003,-1.080388,53.960003,-1.080388,0,150,york,high,nominatim/nominatim_free,ok
europa_occidental.csv,73,York,The Shambles,The Shambles,Sitio histórico,53.959299,-1.080033,53.959299,-1.080033,0,200,york,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,76,York,Micklegate Bar,Micklegate Bar,Sitio histórico,53.955856,-1.090889,53.955852,-1.090889,0,200,york,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,77,York,Rowntree Park,Rowntree Park,Parque,53.948184,-1.081908,53.948184,-1.081908,0,600,york,high,nominatim/nominatim_free,ok
europa_occidental.csv,78,York,Fossgate / Gillygate,Fossgate,Barrio,53.958295,-1.079282,53.958295,-1.079282,0,1500,york,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,80,Edimburgo,Edinburgh Castle,Edinburgh Castle,Sitio histórico,55.948688,-3.200418,55.948688,-3.200418,0,200,edimburgo,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,81,Edimburgo,Palace of Holyroodhouse,Palace of Holyroodhouse,Sitio histórico,55.952695,-3.171613,55.952695,-3.171613,0,200,edimburgo,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,82,Edimburgo,Holyrood Abbey,Holyrood Abbey,Sitio histórico,55.953151,-3.171648,55.953151,-3.171648,0,200,edimburgo,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,83,Edimburgo,Scottish Parliament,Scottish Parliament,Sitio histórico,55.952469,-3.175663,55.952469,-3.175663,0,200,edimburgo,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,84,Edimburgo,Greyfriars Kirkyard,Greyfriars Kirkyard,Cementerio,55.946828,-3.192895,55.946828,-3.192895,0,400,edimburgo,high,nominatim/nominatim_free,ok
europa_occidental.csv,85,Edimburgo,Scott Monument,Scott Monument,Sitio histórico,55.95236,-3.193256,55.952360,-3.193256,0,200,edimburgo,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,87,Edimburgo,Gladstone's Land,Gladstone's Land,Sitio histórico,55.949445,-3.193699,55.949445,-3.193699,0,200,edimburgo,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,88,Edimburgo,John Knox House,John Knox House,Sitio histórico,55.950649,-3.185098,55.950649,-3.185098,0,200,edimburgo,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,89,Edimburgo,Dean Village,Dean Village,Sitio histórico,55.952259,-3.218221,55.952259,-3.218221,0,200,edimburgo,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,91,Edimburgo,George Heriot's School,George Heriot's School,Sitio histórico,55.946271,-3.19502,55.946271,-3.195020,0,200,edimburgo,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,94,Edimburgo,Scottish National Gallery,Scottish National Gallery,Museo,55.950885,-3.195612,55.950885,-3.195612,0,150,edimburgo,high,nominatim/nominatim_free,ok
europa_occidental.csv,95,Edimburgo,Scottish National Portrait Gallery,Scottish National Portrait Gallery,Museo,55.955466,-3.193592,55.955466,-3.193592,0,150,edimburgo,high,nominatim/nominatim_free,ok
europa_occidental.csv,96,Edimburgo,Writers' Museum,Writers' Museum,Museo,55.949691,-3.193742,55.949691,-3.193742,0,150,edimburgo,high,nominatim/nominatim_free,ok
europa_occidental.csv,97,Edimburgo,Museum of Edinburgh,Museum of Edinburgh,Museo,55.95121,-3.1795,55.951210,-3.179500,0,150,edimburgo,high,nominatim/nominatim_free,ok
europa_occidental.csv,99,Edimburgo,Surgeons' Hall Museum,Surgeons' Hall Museums,Museo,55.946767,-3.18468,55.946767,-3.184680,0,150,edimburgo,high,nominatim/nominatim_free,ok
europa_occidental.csv,100,Edimburgo,Camera Obscura,Camera Obscura,Museo,55.949029,-3.195604,55.949029,-3.195604,0,150,edimburgo,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,101,Edimburgo,The Scotch Whisky Experience,Scotch Whisky Experience,Experiencia,55.948743,-3.195875,55.948743,-3.195875,0,300,edimburgo,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,102,Edimburgo,Arthur's Seat,Arthur's Seat,Mirador,55.944069,-3.161603,55.944069,-3.161603,0,150,edimburgo,high,nominatim/nominatim_free,ok
europa_occidental.csv,104,Edimburgo,Holyrood Park,Holyrood Park,Parque,55.94564,-3.1638,55.945640,-3.163800,0,600,edimburgo,high,nominatim/nominatim_free,ok
europa_occidental.csv,106,Edimburgo,Royal Botanic Garden,Royal Botanic Garden Edinburgh,Parque,55.965285,-3.208859,55.965285,-3.208859,0,600,edimburgo,high,nominatim/nominatim_free,ok
europa_occidental.csv,107,Edimburgo,The Meadows,The Meadows,Parque,55.942341,-3.194293,55.942341,-3.194293,0,600,edimburgo,high,nominatim/nominatim_free,ok
europa_occidental.csv,108,Edimburgo,Stockbridge Market,Stockbridge Market,Mercado,55.957629,-3.208443,55.957629,-3.208443,0,300,edimburgo,high,nominatim/nominatim_free,ok
europa_occidental.csv,110,Edimburgo,Sandy Bell's,Sandy Bell's,Pub,55.946081,-3.19129,55.946081,-3.191290,0,120,edimburgo,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,112,Edimburgo,The Elephant House,The Elephant House,Harry Potter,55.94757,-3.191785,55.947570,-3.191785,0,300,edimburgo,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,113,Edimburgo,Balmoral Hotel,The Balmoral Hotel,Harry Potter,55.953088,-3.189263,55.953088,-3.189263,0,300,edimburgo,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,116,Edimburgo,Stockbridge,Stockbridge,Barrio,55.957972,-3.20934,55.957972,-3.209340,0,1500,edimburgo,high,nominatim/nominatim_free,ok
europa_occidental.csv,117,Edimburgo,Leith,Leith,Barrio,55.97255,-3.170949,55.972550,-3.170949,0,1500,edimburgo,high,nominatim/nominatim_free,ok
europa_occidental.csv,118,Highlands,West Highland Museum,West Highland Museum,Museo,56.81763,-5.111046,56.817630,-5.111046,0,150,fort_william,high,nominatim/nominatim_free,ok
europa_occidental.csv,119,Highlands,Nevis Range Gondola,Nevis Range,Teleférico,56.844383,-4.985630,56.844383,-4.985630,0,300,fort_william,high,nominatim/nominatim_free,ok
europa_occidental.csv,120,Highlands,Ben Nevis,Ben Nevis,Trekking,56.796858,-5.003526,56.796858,-5.003526,0,3000,fort_william,review,nominatim/fuentes discrepan 6.0 km,ok
europa_occidental.csv,121,Highlands,Neptune's Staircase,Neptune's Staircase,Sitio histórico,56.845559,-5.096915,56.845559,-5.096915,0,200,fort_william,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,123,Highlands,Buachaille Etive Mòr,Buachaille Etive Mor,Paisaje,56.633967,-4.936779,56.633967,-4.936779,0,2500,glencoe,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,124,Highlands,Glen Etive,Glen Etive,Paisaje,56.61606,-4.963061,56.616060,-4.963061,0,2500,glencoe,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,127,Highlands,Glencoe Lochan,Glencoe Lochan,Naturaleza,56.690691,-5.095836,56.690691,-5.095836,0,2000,glencoe,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,128,Highlands,Glencoe Visitor Centre,Glencoe Visitor Centre,Museo,56.670703,-5.079679,56.670703,-5.079679,0,150,glencoe,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,130,Highlands,Glenfinnan Viaduct,Glenfinnan Viaduct,Sitio histórico,56.875824,-5.429320,56.875824,-5.429320,0,200,glenfinnan,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,131,Highlands,Glenfinnan Monument,Glenfinnan Monument,Sitio histórico,56.869173,-5.43705,56.869173,-5.437050,0,200,glenfinnan,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,133,Highlands,Oban,Oban,Pueblo,56.412017,-5.472373,56.412017,-5.472373,0,6000,oban_appin,high,nominatim/nominatim_free,ok
europa_occidental.csv,134,Highlands,Loch Lomond,Loch Lomond,Paisaje,56.156196,-4.656376,56.156196,-4.656376,0,2500,loch_lomond,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,136,Highlands,Plockton,Plockton,Pueblo,57.338081,-5.651894,57.338081,-5.651894,0,6000,torridon_applecross,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,137,Highlands,Bealach na Bà / Applecross,Bealach na Ba,Paisaje,57.407683,-5.674971,57.407683,-5.674971,0,2500,torridon_applecross,review,nominatim/fuentes discrepan 2.8 km,ok
europa_occidental.csv,140,Highlands,Fairy Glen,Fairy Glen,Paisaje,57.583350,-6.327396,57.583350,-6.327396,0,2500,skye_noroeste,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,141,Highlands,Skye Museum of Island Life,Skye Museum of Island Life,Museo,57.660216,-6.368944,57.660216,-6.368944,0,150,skye_noroeste,high,nominatim/nominatim_free,ok
europa_occidental.csv,142,Highlands,Neist Point Lighthouse,Neist Point Lighthouse,Paisaje,57.423388,-6.788237,57.423388,-6.788237,0,2500,skye_oeste,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,143,Highlands,Fairy Pools,Fairy Pools,Trekking,57.249108,-6.248658,57.249108,-6.248658,0,3000,skye_sur,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,146,Highlands,Ness Islands,Ness Islands,Naturaleza,57.464031,-4.230526,57.464031,-4.230526,0,2000,inverness,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,147,Highlands,Inverness Castle,Inverness Castle,Castillo,57.476433,-4.225644,57.476433,-4.225644,0,250,inverness,high,nominatim/nominatim_free,ok
europa_occidental.csv,149,Highlands,Church Street,Church Street,Barrio,57.477762,-4.225662,57.477762,-4.225662,0,1500,inverness,review,nominatim/fuentes discrepan 77.7 km,ok
